,precision,recall,f1-score,support
scorpion,0.8549618320610687,0.7832167832167832,0.8175182481751825,143.0
screwdriver,0.625,0.625,0.625,144.0
sea turtle,0.7159763313609467,0.7289156626506024,0.7223880597014926,166.0
see saw,0.8787878787878788,0.8111888111888111,0.8436363636363636,143.0
shark,0.6020942408376964,0.7419354838709677,0.6647398843930635,155.0
sheep,0.7928571428571428,0.7928571428571428,0.7928571428571428,140.0
shoe,0.8345864661654135,0.7928571428571428,0.8131868131868132,140.0
shorts,0.7297297297297297,0.8372093023255814,0.779783393501805,129.0
shovel,0.8053097345132744,0.6893939393939394,0.7428571428571429,132.0
sink,0.7105263157894737,0.75,0.7297297297297297,144.0
skateboard,0.8177083333333334,0.9457831325301205,0.8770949720670391,166.0
skull,0.8343949044585988,0.903448275862069,0.8675496688741722,145.0
skyscraper,0.6511627906976745,0.535031847133758,0.5874125874125874,157.0
sleeping bag,0.5524475524475524,0.5602836879432624,0.5563380281690141,141.0
smiley face,0.7248322147651006,0.84375,0.779783393501805,128.0
snail,0.7556818181818182,0.910958904109589,0.8260869565217391,146.0
snake,0.6705882352941176,0.7037037037037037,0.6867469879518072,162.0
snorkel,0.8461538461538461,0.7615384615384615,0.8016194331983806,130.0
snowflake,0.8195488721804511,0.8515625,0.8352490421455939,128.0
snowman,0.8461538461538461,0.9041095890410958,0.8741721854304636,146.0
soccer ball,0.6815286624203821,0.7086092715231788,0.6948051948051948,151.0
sock,0.8478260869565217,0.8125,0.8297872340425532,144.0
speedboat,0.5789473684210527,0.5968992248062015,0.5877862595419847,129.0
spider,0.7672955974842768,0.7922077922077922,0.7795527156549521,154.0
spoon,0.6384180790960452,0.7151898734177216,0.6746268656716418,158.0
spreadsheet,0.6210526315789474,0.7421383647798742,0.6762177650429799,159.0
square,0.676923076923077,0.8516129032258064,0.7542857142857143,155.0
squiggle,0.49514563106796117,0.3591549295774648,0.4163265306122449,142.0
squirrel,0.7228915662650602,0.8391608391608392,0.7766990291262136,143.0
stairs,0.8848484848484849,0.8957055214723927,0.8902439024390244,163.0
star,0.9015151515151515,0.9153846153846154,0.9083969465648855,130.0
steak,0.5612244897959183,0.3873239436619718,0.4583333333333333,142.0
stereo,0.64,0.6837606837606838,0.6611570247933884,117.0
stethoscope,0.8872180451127819,0.7866666666666666,0.833922261484099,150.0
stitches,0.9439252336448598,0.7062937062937062,0.808,143.0
stop sign,0.9083969465648855,0.8040540540540541,0.8530465949820788,148.0
stove,0.6962962962962963,0.6025641025641025,0.6460481099656358,156.0
strawberry,0.8716216216216216,0.8164556962025317,0.8431372549019608,158.0
streetlight,0.819672131147541,0.746268656716418,0.78125,134.0
string bean,0.43258426966292135,0.4583333333333333,0.44508670520231214,168.0
submarine,0.7756410256410257,0.7610062893081762,0.7682539682539683,159.0
suitcase,0.7021276595744681,0.6428571428571429,0.6711864406779661,154.0
sun,0.8662420382165605,0.9066666666666666,0.8859934853420195,150.0
swan,0.6644736842105263,0.7481481481481481,0.7038327526132404,135.0
sweater,0.7209302325581395,0.6888888888888889,0.7045454545454546,135.0
swing set,0.8982035928143712,0.9146341463414634,0.9063444108761329,164.0
sword,0.8031496062992126,0.796875,0.8,128.0
syringe,0.8951612903225806,0.7449664429530202,0.8131868131868132,149.0
t-shirt,0.8363636363636363,0.8414634146341463,0.8389057750759878,164.0
table,0.7471264367816092,0.8227848101265823,0.7831325301204819,158.0
teapot,0.8115942028985508,0.8,0.8057553956834532,140.0
teddy-bear,0.7834394904458599,0.7834394904458599,0.7834394904458599,157.0
telephone,0.7383177570093458,0.5683453237410072,0.6422764227642277,139.0
television,0.9171974522292994,0.8834355828220859,0.9,163.0
tennis racquet,0.8064516129032258,0.7633587786259542,0.7843137254901961,131.0
